"Page","Impressions","Clicks","CTR","Avg. Position"
"https://congoafricangreys.com/african-grey-parrots-for-sale/","2","0","0%","7.5"
"https://congoafricangreys.com/african-grey-parrot-for-sale-san-diego/","2","0","0%","8"
"https://congoafricangreys.com/how-to-tame-african-grey-parrot/","2","0","0%","2.5"
"https://congoafricangreys.com/buy-congo-african-grey-parrot-pair-for-sale/","2","1","50%","10.5"
"https://congoafricangreys.com/african-grey-parrot-for-sale-ohio/","2","0","0%","9"
"https://congoafricangreys.com/african-grey-parrot-for-sale-near-me/","1","0","0%","2"
"https://congoafricangreys.com/product-category/buy-male-african-gray-birds-for-sale-nyc-ny/","1","0","0%","3"
"https://congoafricangreys.com/african-grey-parrot-for-sale-chicago/","1","0","0%","3"
"https://congoafricangreys.com/product-category/african-grey-for-sale-los-angeles-california/","1","0","0%","2"
"https://congoafricangreys.com/african-grey-parrot-for-sale-houston/","1","1","100%","5"
"https://congoafricangreys.com/buy-intelligent-african-grey-for-sale-ca/","1","0","0%","4"
"https://congoafricangreys.com/blog/","1","0","0%","1"
"https://congoafricangreys.com/product/african-grey-parrots-for-sale-near-me/","1","0","0%","9"
"https://congoafricangreys.com/available/","1","1","100%","4"
"https://congoafricangreys.com/african-grey-parrot-for-sale-massachusetts/","1","0","0%","3"
"https://congoafricangreys.com/african-grey-parrot-for-sale-new-york/","1","0","0%","3"
"https://congoafricangreys.com/blog/african-grey-parrot-training/","1","0","0%","10"
"https://congoafricangreys.com/faqs/","1","0","0%","2"
"https://congoafricangreys.com/product/african-grey-breeding-pair-for-sale-nearby/","1","0","0%","19"
"https://congoafricangreys.com/african-grey-parrot-for-sale-tampa/","1","0","0%","3"
"https://congoafricangreys.com/blog/african-grey-vs-eclectus/","1","0","0%","1"
